매장명,주소,지역,동,위도,경도
양산평산동점,경남 양산시 평산북1길 11 (평산동),양산시,평산동,35.3863174,129.155262
의령점,"경남 의령군 의령읍 충익로 18 (중동리, 리치호텔)",의령군,중동리,35.3176067,128.2622695
경남과학기술대점,경남 진주시 강남로167번길 10 (칠암동),진주시,칠암동,35.1830681,128.0947087
신진주역점,경남 진주시 관문로 4 (가좌동),진주시,가좌동,35.1484855,128.123733
진주강남동점,경남 진주시 진주대로929번길 15 (강남동),진주시,강남동,35.1819132,128.088709
진주개양오거리점,경남 진주시 가좌길74번길 1 (가좌동),진주시,가좌동,35.1604474,128.106216
진주금산점,경남 진주시 금산면 중천로 83 (장사리) 1층,진주시,장사리,35.2176893,128.1464041
진주대안동점,경남 진주시 촉석로186번길 6-1 (중안동),진주시,중안동,35.1947257,128.0823533
진주보건대점,경남 진주시 창렬로 111 (상봉동),진주시,상봉동,35.1980319,128.0693952
진주상대동점,경남 진주시 동진로216번길 5 (상대동),진주시,상대동,35.1794926,128.1149955
진주신안동점,경남 진주시 진양호로 278 (신안동),진주시,신안동,35.1847306,128.0749816
진주신평공원점,경남 진주시 신평공원길47번길 11 (평거동),진주시,평거동,35.1731523,128.0668192
진주윙스타워점,경남 진주시 동부로169번길 12 (충무공동),진주시,충무공동,35.1649473,128.1272503
진주이현동점,경남 진주시 진주대로 1317-15 (이현동),진주시,이현동,35.1940528,128.0602003
진주장대동점,경남 진주시 남강로 690 (장대동),진주시,장대동,35.191267,128.087047
진주주약동점,경남 진주시 진주대로815번길 14 (주약동),진주시,주약동,35.1734019,128.0923259
진주초전중앙점,경남 진주시 초북로 36 (초전동),진주시,초전동,35.21192630000001,128.1117341
진주평거동점,경남 진주시 평거로 14 (평거동),진주시,평거동,35.17195299999999,128.06336
진주평거엠코점,경남 진주시 새들말로 28 (평거동),진주시,평거동,35.1663768,128.0576113
진주평거판문점,경남 진주시 진양호로28번길 21 (평거동),진주시,평거동,35.1658282,128.0442782
진주하대동점,경남 진주시 도동로 241 (하대동),진주시,하대동,35.1918752,128.1216881
진주혁신소호점,경남 진주시 범골로54번길 17 (충무공동),진주시,충무공동,35.1688245,128.1322873
진주혁신중앙점,경남 진주시 사들로 83 (충무공동),진주시,충무공동,35.1752546,128.1488569
진주호탄동점,경남 진주시 강변길 5 (호탄동),진주시,호탄동,35.1641655,128.1105968
진주홈플러스점,"경남 진주시 대신로 304 (상대동, 홈플러스)",진주시,상대동,35.1876018,128.1177427
창녕남지점,경남 창녕군 남지읍 동포옛길 21-44 (남지리),창녕군,남지리,35.39222220000001,128.4822989
창녕점,"경남 창녕군 창녕읍 화왕산로 50 (송현리, 커피숍)",창녕군,송현리,35.5414925,128.506337
경남대점,경남 창원시 마산합포구 월영동4길 10 (해운동),창원시,해운동,35.1796319,128.560642
대한민국민주주의전당점,경남 창원시 마산합포구 해안대로 202 (월포동),창원시,월포동,35.1908572,128.5662509
마산고속터미널점,"경남 창원시 마산회원구 합포로 292 (양덕동, 대화빌딩)",창원시,양덕동,35.2232831,128.5875798
마산내서중리점,경남 창원시 마산회원구 내서읍 중리2길 47 (중리),창원시,중리,35.24333,128.5316089
마산메트로시티점,"경남 창원시 마산회원구 삼호로 80 (양덕동, 메트로시티 2단지)",창원시,양덕동,35.2256561,128.5851857
마산석전동점,경남 창원시 마산회원구 석전동로 7 (석전동),창원시,석전동,35.231431,128.5758288
마산어시장점,"경남 창원시 마산합포구 해안대로 331 (남성동, 한백마리나타운)",창원시,남성동,35.2017026,128.576491
마산역광장점,경남 창원시 마산회원구 마산역광장로 12 (석전동),창원시,석전동,35.2356127,128.5786689
마산의료원점,"경남 창원시 마산합포구 3.15대로 231 (장군동4가, 마산의료원)",창원시,장군동4가,35.198204,128.5651612
마산합성동점,"경남 창원시 마산회원구 3.15대로 741 (합성동, 이정호치과)",창원시,합성동,35.238233,128.5820472
마산해양공원점,"경남 창원시 마산합포구 드림베이대로 12 (해운동, 동화마루)",창원시,해운동,35.1800481,128.5576975
마산현동점,경남 창원시 마산합포구 현동1길 4-14 (현동),창원시,현동,35.1468239,128.5584481
부산신항점,경상남도 창원시 진해구 용원동 1343-11 드림타워 이디야커피,창원시,,35.0874086,128.8145471
진해미래쇼핑점,"경남 창원시 진해구 진해대로 762 (석동, 롯데마트)",창원시,석동,35.1601284,128.7015374
진해장천점,경남 창원시 진해구 충장로657번길 30 (장천동),창원시,장천동,35.1306728,128.7069572
진해중앙점,경남 창원시 진해구 충장로 94 (충무동),창원시,충무동,35.1522133,128.6623746
창원가음로점,경남 창원시 성산구 가음로 107 (남양동),창원시,남양동,35.2040249,128.7042567
창원감계점,경남 창원시 의창구 북면 감계로110번길 11-4 (감계리),창원시,감계리,35.2980823,128.5929439
창원경남도청점,경남 창원시 의창구 상남로 250 (신월동),창원시,신월동,35.2333614,128.6914684
창원대원점,경남 창원시 의창구 두대로 43 (대원동),창원시,대원동,35.2324581,128.6494388
창원대중앙점,경남 창원시 의창구 용동로83번안길 36 (사림동),창원시,사림동,35.2394762,128.6998995
창원메트로병원점,"경남 창원시 의창구 평산로 215 (서상동, 문정빌딩)",창원시,서상동,35.2616961,128.6174052
창원반림점,"경남 창원시 성산구 원이대로473번길 19-9 (반림동, 시골솥단지삼겹살)",창원시,반림동,35.23552129999999,128.6697508
창원반지동점,"경남 창원시 성산구 원이대로393번길 21 (반지동, 인화상가)",창원시,반지동,35.2393669,128.6626768
창원봉곡동점,경남 창원시 의창구 원이대로 259 (봉곡동),창원시,봉곡동,35.2437294,128.648996
창원봉림점,경남 창원시 의창구 대봉로26번길 4-5 (봉림동),창원시,봉림동,35.2512618,128.6676886
창원상남햇살점,"경남 창원시 성산구 마디미로64번길 13 (상남동, 재성빌딩)",창원시,상남동,35.2198899,128.6806427
창원상남햇살점,"경남 창원시 성산구 마디미로64번길 13 (상남동, 재성빌딩)",창원시,상남동,35.2198899,128.6806427
창원소답동점,"경남 창원시 의창구 읍성로 59 (소답동, 송원상가)",창원시,소답동,35.2651774,128.6246692
창원온천점,"경남 창원시 성산구 동산로65번길 24 (상남동, 종로엠스쿨)",창원시,상남동,35.2167873,128.6851497
창원이마트점,경남 창원시 성산구 원이대로 608 (중앙동),창원시,중앙동,35.2263651,128.6799499
창원점,"경남 창원시 의창구 용지로169번길 13 (용호동, 라이크빌-1)",창원시,용호동,35.23043,128.6809221
창원종합터미널점,"경남 창원시 의창구 창원대로 371 (팔용동, 창원종합버스터미널)",창원시,팔용동,35.2363513,128.6394079
창원중동점,경남 창원시 의창구 남산로 87 (서상동),창원시,서상동,35.255559,128.6181411
창원중앙대로점,"경남 창원시 성산구 중앙대로 75 (중앙동, 상지솔리움)",창원시,중앙동,35.2220276,128.6773936
창원팔용점,경남 창원시 의창구 팔용로443번길 4 (팔용동),창원시,팔용동,35.2562589,128.6134394
창원홈플러스점,"경남 창원시 의창구 창원대로 415 (팔용동, 삼성홈플러스)",창원시,팔용동,35.2340696,128.643636
통영동피랑점,경남 통영시 동문로 3 (태평동),통영시,태평동,34.8463029,128.4241514
통영무전동점,경남 통영시 무전6길 25 (무전동),통영시,무전동,34.858872,128.4263149
통영죽림점,경남 통영시 광도면 죽림해안로 64-6 (죽림리),통영시,죽림리,34.8850983,128.4221058
진교하나로마트점,경남 하동군 진교면 경충로 1059 (진교리),하동군,진교리,35.0310473,127.899531
하동군청DI점,경남 하동군 하동읍 군청로 39 (읍내리),하동군,읍내리,35.0658191,127.7531555
경남함안점,경남 함안군 가야읍 함마대로 1504,함안군,,35.2754486,128.4001447
경남합천점,경남 합천군 합천읍 옥산로 34,합천군,,35.5685166,128.1586877
